朝向,楼层,成交,单价,成交价,税费,区县,区域,装修,电梯,小区,布局,面积
东,低楼层(共14层) 1991年建板楼,2015.04.02,47391,365,房屋满五年,东城,安定门,其他,有电梯,黄寺大街28号院,3室1厅,77.02
南,中楼层(共19层) 2006年建塔楼,2015.04.02,50325,496,房屋满五年,东城,安定门,精装,有电梯,西营房,2室1厅,98.56
南 北,低楼层(共6层) 1986年建板楼,2015.04,,,房屋满五年,东城,安定门,其他,无电梯,安德路47号院,2室1厅,56.8
暂无数据,中楼层(共6层) 1988年建板楼,2015.04,,,近地铁,东城,安定门,其他,无电梯,,,
东 西,低楼层(共11层) 1983年建板楼,2015.04,,,近地铁,东城,安定门,其他,有电梯,安外西河沿,2室1厅,59.1
暂无数据,中楼层(共5层) 1985年建板楼,2015.04,,,,东城,安定门,其他,,,,
暂无数据,中楼层(共19层) 2006年建塔楼,2015.04,,,近地铁,东城,安定门,其他,有电梯,,,
暂无数据,顶层(共6层) 1990年建板楼,2015.04,,,,东城,安定门,其他,,,,
东 西,中楼层(共6层) 1980年建板楼,2015.04,,,房屋满五年,东城,安定门,简装,无电梯,六铺炕,1室1厅,57.15
暂无数据,中楼层(共10层) 1999年建板塔结合,2015.04,,,近地铁,东城,安定门,其他,有电梯,,,
暂无数据,中楼层(共11层) 板楼,2015.04,,,,东城,安定门,其他,有电梯,,,
暂无数据,低楼层(共24层) 2005年建板塔结合,2015.04,,,,东城,安定门,其他,有电梯,,,
暂无数据,中楼层(共5层) 1993年建板楼,2015.04,,,,东城,安定门,其他,,,,
东 西,低楼层(共6层) 1990年建板楼,2015.04,,,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,55.7
南 北,顶层(共6层) 1979年建板楼,2015.04,,,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,53.37
南 北,中楼层(共5层) 1982年建板楼,2015.04,,,房屋满五年,东城,安定门,简装,,永康胡同5号院,3室1厅,68.8
南,中楼层(共17层) 2006年建塔楼,2015.04,,,房屋满五年,东城,安定门,简装,有电梯,西营房,2室1厅,81.74
东 北,高楼层(共18层) 2000年建塔楼,2015.04,,,房屋满五年,东城,安定门,精装,有电梯,三秀涵雅,2室1厅,107
东 西,中楼层(共8层) 1999年建板塔结合,2015.04,,,房屋满五年,东城,安定门,精装,有电梯,湖景苑,2室2厅,129.84
东 西,中楼层(共6层) 1985年建板楼,2015.04,,,,东城,安定门,其他,无电梯,,,
东 西,低楼层(共10层) 2003年建板塔结合,2015.03.31,58964,472,房屋满五年,东城,安定门,精装,有电梯,湖景苑,2室1厅,80.05
西 南,高楼层(共24层) 2005年建板塔结合,2015.03.29,52484,521,房屋满五年,东城,安定门,精装,有电梯,,,
南 北,顶层(共6层) 1987年建板楼,2015.03.29,44419,308,房屋满五年,东城,安定门,简装,无电梯,青年湖北里,3室1厅,69.34
西南,中楼层(共18层) 1993年建塔楼,2015.03.29,45852,252,房屋满五年,东城,安定门,精装,有电梯,上龙西里,1室1厅,54.96
东 西,低楼层(共12层) 1989年建塔楼,2015.03.29,52091,309,挂牌315万,东城,安定门,其他,有电梯,安德路乙61号院,2室1厅,59.32
南,高楼层(共6层) 1988年建板楼,2015.03.29,46729,195,房屋满五年,东城,安定门,简装,,安德路59号,1室1厅,41.73
南 北,中楼层(共5层) 1980年建板楼,2015.03.28,49981,253,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,2室1厅,50.62
东 西,中楼层(共14层) 1996年建板塔结合,2015.03.28,62271,440,房屋满五年,东城,安定门,简装,有电梯,青年湖南街,2室1厅,70.66
东 北,低楼层(共17层) 1988年建塔楼,2015.03.28,41003,450,房屋满五年,东城,安定门,毛坯,有电梯,安德里北街25号院,3室2厅,109.75
东 西,中楼层(共6层) 板楼,2015.03,,,近地铁,东城,安定门,其他,无电梯,,,
暂无数据,中楼层(共6层) 1995年建板楼,2015.03,,,,东城,安定门,其他,无电梯,,,
南,中楼层(共6层) 1988年建板楼,2015.03.27,48810,205,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,1室1厅,42
南 北,高楼层(共12层) 1990年建板塔结合,2015.03,,,房屋满五年,东城,安定门,简装,有电梯,安外东河沿,3室1厅,85.75
南 北,底层(共12层) 1990年建板塔结合,2015.03,,,近地铁,东城,安定门,其他,,青年湖南里,3室1厅,73.17
东 西,中楼层(共11层) 1992年建板塔结合,2015.03.26,51711,325,房屋满五年,东城,安定门,其他,有电梯,鼓楼外大街52号,2室1厅,62.85
东,中楼层(共12层) 1994年建板楼,2015.03.26,33056,249.8,近地铁,东城,安定门,简装,有电梯,京宝花园,1室1厅,75.57
东北,中楼层(共11层) 1983年建板楼,2015.03.25,47044,253,房屋满五年,东城,安定门,精装,有电梯,,,
东,顶层(共5层) 板楼,2015.03.25,50493,200,房屋满五年,东城,安定门,简装,无电梯,花园胡同8号院,1室1厅,39.61
暂无数据,高楼层(共11层) 1983年建板楼,2015.03,,,近地铁,东城,安定门,其他,有电梯,,,
暂无数据,中楼层(共11层) 1992年建板塔结合,2015.03,,,,东城,安定门,其他,有电梯,,,
东 西,高楼层(共6层) 板楼,2015.03.24,40479,230,房屋满五年,东城,安定门,简装,无电梯,安外大街3号院,2室1厅,56.82
南,低楼层(共10层) 2004年建板塔结合,2015.03.23,44003,248,房屋满五年,东城,安定门,简装,有电梯,青年湖北里,1室1厅,56.36
东北,顶层(共18层) 1993年建塔楼,2015.03,,,房屋满五年,东城,安定门,简装,有电梯,上龙西里,1室1厅,56
西南,高楼层(共16层) 1992年建塔楼,2015.03.22,61757,348,房屋满五年,东城,安定门,精装,有电梯,六铺炕,2室1厅,56.35
南 北,中楼层(共6层) 板楼,2015.03.22,63924,800,房屋满五年,东城,安定门,精装,无电梯,官书院,3室2厅,125.15
南,底层(共6层) 1985年建板楼,2015.03.21,50048,265,房屋满五年,东城,安定门,简装,,中绦胡同甲2号院,2室1厅,52.95
南 北,顶层(共5层) 板楼,2015.03.21,46227,234,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,2室1厅,50.62
南 北,中楼层(共6层) 1974年建板楼,2015.03.20,43324,231,房屋满五年,东城,安定门,毛坯,无电梯,朗家胡同24号院,2室1厅,53.32
南 北,中楼层(共6层) 1985年建板楼,2015.03,,,房屋满五年,东城,安定门,其他,,中绦胡同甲2号院,2室1厅,61.56
南 北,中楼层(共5层) 1989年建板楼,2015.03,,,房屋满五年,东城,安定门,简装,无电梯,上龙西里,2室1厅,46.63
南 北,中楼层(共14层) 1987年建板塔结合,2015.03.19,48717,410,房屋满五年,东城,安定门,精装,有电梯,安外大街80号院,3室1厅,84.16
东,高楼层(共16层) 2001年建塔楼,2015.03.19,50761,387,房屋满五年,东城,安定门,精装,有电梯,华府景园,1室1厅,76.24
南 北,高楼层(共6层) 1987年建板楼,2015.03.18,55596,391,房屋满五年,东城,安定门,简装,无电梯,安德里北街24号院,3室1厅,70.33
东,中楼层(共10层) 2001年建板楼,2015.03.18,47784,290,房屋满五年,东城,安定门,简装,有电梯,安德路乙61号院,2室0厅,60.69
北,中楼层(共17层) 2006年建塔楼,2015.03.18,43790,159,房屋满五年,东城,安定门,精装,有电梯,西营房,1室1厅,36.31
南 北,中楼层(共5层) 1986年建板楼,2015.03.17,65253,449,房屋满五年,东城,安定门,精装,,青年湖西里,3室1厅,68.81
暂无数据,底层(共6层) 1980年建板楼,2015.03,,,,东城,安定门,其他,无电梯,,,
东 西,高楼层(共11层) 1992年建板塔结合,2015.03.16,46142,290,房屋满五年,东城,安定门,精装,有电梯,鼓楼外大街52号,2室1厅,62.85
南 北,底层(共6层) 1990年建板楼,2015.03.16,57483,348,挂牌350万,东城,安定门,其他,,青年湖西里,2室1厅,60.54
南 北,顶层(共6层) 1980年建板楼,2015.03.15,54953,430,房屋满五年,东城,安定门,简装,无电梯,六铺炕,3室1厅,78.25
南 北,底层(共5层) 板楼,2015.03.15,57501,427,房屋满五年,东城,安定门,精装,,青年湖西里,3室1厅,74.26
东 西,高楼层(共12层) 1989年建塔楼,2015.03.14,51514,245,房屋满五年,东城,安定门,简装,有电梯,安德路乙61号院,2室1厅,47.56
南,高楼层(共17层) 1988年建塔楼,2015.03.14,55043,268,房屋满五年,东城,安定门,简装,有电梯,安德里北街25号院,1室1厅,48.69
东 西,顶层(共6层) 板楼,2015.03.13,43919,308,房屋满五年,东城,安定门,简装,无电梯,安外大街80号院,3室1厅,70.13
南,底层(共5层) 1986年建板楼,2015.03.12,67810,227.5,近地铁,东城,安定门,简装,,青年湖西里,1室1厅,33.55
南 北,高楼层(共6层) 板楼,2015.03.12,59641,739.9,房屋满五年,东城,安定门,精装,有电梯,官书院,3室1厅,124.06
南 北,底层(共6层) 1988年建板楼,2015.03.12,28440,173,房屋满五年,东城,安定门,简装,,安德路59号,2室1厅,60.83
暂无数据,中楼层(共16层) 2001年建塔楼,2015.03,,,,东城,安定门,其他,有电梯,,,
南 北,底层(共5层) 1986年建板楼,2015.03.11,61457,335,房屋满五年,东城,安定门,精装,,青年湖西里,2室1厅,54.51
暂无数据,中楼层(共6层) 板楼,2015.03,,,近地铁,东城,安定门,其他,无电梯,,,
南,底层(共6层) 1980年建板楼,2015.03.11,62962,230,挂牌235万,东城,安定门,简装,无电梯,六铺炕,1室1厅,36.53
东,中楼层(共11层) 1992年建板塔结合,2015.03,,,房屋满五年,东城,安定门,其他,有电梯,鼓楼外大街52号,1室1厅,44.38
暂无数据,低楼层(共18层) 1993年建塔楼,2015.03,,,近地铁,东城,安定门,其他,有电梯,,,
南 北,底层(共5层) 1986年建板楼,2015.03.09,58591,428,房屋满五年,东城,安定门,毛坯,,青年湖西里,3室1厅,73.05
南,低楼层(共17层) 2006年建塔楼,2015.03.09,46636,402,房屋满五年,东城,安定门,精装,有电梯,西营房,2室1厅,86.2
南 西,中楼层(共24层) 2005年建板塔结合,2015.03.09,54866,530,房屋满五年,东城,安定门,其他,有电梯,巷上嘉园,2室1厅,96.6
南 北,高楼层(共7层) 2002年建板楼,2015.03.09,54759,370,房屋满五年,东城,安定门,精装,无电梯,永康胡同1号院,2室1厅,67.57
南 北,高楼层(共6层) 1983年建板楼,2015.03.09,45403,197,房屋满五年,东城,安定门,简装,无电梯,安外西河沿,1室1厅,43.39
东 西,高楼层(共6层) 1980年建板楼,2015.03.08,55903,304,挂牌345万,东城,安定门,简装,无电梯,,,
东 西,中楼层(共12层) 1988年建板塔结合,2015.03.08,46953,228,房屋满五年,东城,安定门,其他,有电梯,安外大街3号院,2室1厅,48.56
东 西,高楼层(共6层) 1986年建板楼,2015.03.08,47972,175,房屋满五年,东城,安定门,其他,无电梯,青年湖东里,1室1厅,36.48
南 西,底层(共12层) 1990年建板塔结合,2015.03,,,房屋满五年,东城,安定门,精装,,青年湖南里,2室1厅,56.5
北,顶层(共17层) 2006年建塔楼,2015.03.04,43102,156.5,近地铁,东城,安定门,精装,有电梯,西营房,1室0厅,36.31
南,高楼层(共12层) 1990年建板塔结合,2015.03.03,57581,346,房屋满五年,东城,安定门,精装,有电梯,安外东河沿,2室1厅,60.09
南 北,高楼层(共16层) 1992年建塔楼,2015.03,,,近地铁,东城,安定门,其他,有电梯,安外东河沿,2室1厅,64.59
南 北,中楼层(共7层) 1989年建板楼,2015.03.02,47312,271,房屋满五年,东城,安定门,精装,无电梯,安德路47号院,2室1厅,57.28
暂无数据,中楼层(共5层) 1980年建板楼,2015.03,,,,东城,安定门,其他,无电梯,,,
暂无数据,高楼层(共12层) 1989年建塔楼,2015.03,,,,东城,安定门,其他,有电梯,,,
暂无数据,低楼层(共6层) 板楼,2015.03,,,近地铁,东城,安定门,其他,无电梯,,,
东 西,顶层(共6层) 1980年建板楼,2015.03.01,54248,295,房屋满五年,东城,安定门,毛坯,无电梯,六铺炕,2室1厅,54.38
南 北,底层(共5层) 1980年建板楼,2015.03.01,45072,226.8,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,50.32
西,高楼层(共16层) 2006年建塔楼,2015.03,,,房屋满五年,东城,安定门,其他,有电梯,西营房,1室1厅,54.5
南 北,中楼层(共5层) 1980年建板楼,2015.03,,,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,57
东,高楼层(共6层) 1989年建板楼,2015.03,,,近地铁,东城,安定门,精装,无电梯,上龙西里,2室1厅,63.14
南 北,顶层(共6层) 1987年建板楼,2015.03,,,房屋满五年,东城,安定门,简装,无电梯,青年湖北里,2室1厅,54
南,高楼层(共6层) 1994年建板楼,2015.03,,,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,1室1厅,43.67
南 北,中楼层(共6层) 1990年建板楼,2015.02.28,49675,290,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,58.38
南 北,顶层(共5层) 1980年建板楼,2015.02.28,45663,270,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,3室1厅,59.13
南,中楼层(共6层) 1985年建板楼,2015.02.13,47297,258,房屋满五年,东城,安定门,简装,,中绦胡同甲2号院,2室1厅,54.55
南,低楼层(共20层) 1982年建塔楼,2015.02.12,61138,230,近地铁,东城,安定门,其他,有电梯,安外东河沿,1室1厅,37.62
西,顶层(共15层) 1989年建塔楼,2015.02.11,39963,172,房屋满五年,东城,安定门,其他,有电梯,黄寺大街28号院,1室1厅,43.04
东 南,高楼层(共18层) 1988年建塔楼,2015.02.11,44458,235,房屋满五年,东城,安定门,简装,有电梯,青年湖东里,1室1厅,52.86
东 南,中楼层(共11层) 板楼,2015.02.09,53017,377,房屋满五年,东城,安定门,精装,有电梯,车辇店胡同,0室1厅,71.11
东北,高楼层(共6层) 1990年建板楼,2015.02.09,45414,150,房屋满五年,东城,安定门,精装,无电梯,安德路47号院,1室1厅,33.03
南 北,中楼层(共6层) 1988年建板楼,2015.02.08,44820,305,房屋满五年,东城,安定门,简装,无电梯,安外大街3号院,3室1厅,68.05
南 北,中楼层(共5层) 1985年建板楼,2015.02.08,55730,321,房屋满五年,东城,安定门,简装,,青年湖西里,3室1厅,57.6
南,中楼层(共11层) 板楼,2015.02.08,55402,300,房屋满五年,东城,安定门,精装,有电梯,车辇店胡同,1室1厅,54.15
南,中楼层(共5层) 1980年建板楼,2015.02.06,47035,180,房屋满五年,东城,安定门,简装,无电梯,青年湖东里,1室1厅,38.27
南 北,顶层(共6层) 1994年建板楼,2015.02.06,41323,485,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,4室2厅,117.37
东,中楼层(共6层) 1992年建板楼,2015.02.05,38714,195,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,1室1厅,50.37
南,高楼层(共11层) 2001年建板楼,2015.02.04,55402,300,房屋满五年,东城,安定门,简装,有电梯,车辇店胡同,1室1厅,54.15
南 北,高楼层(共6层) 1988年建板楼,2015.02.04,53153,301,房屋满五年,东城,安定门,其他,无电梯,青年湖北里,2室1厅,56.63
东 西,中楼层(共6层) 1980年建板楼,2015.02.03,52797,303,房屋满五年,东城,安定门,简装,无电梯,六铺炕,3室1厅,57.39
南 北,高楼层(共6层) 1974年建板楼,2015.02.02,44520,238,房屋满五年,东城,安定门,简装,无电梯,,,
东 南 西 北,顶层(共5层) 1982年建板楼,2015.02.02,59186,216.5,近地铁,东城,安定门,其他,,,,
东 南 西,低楼层(共14层) 1987年建板塔结合,2015.02.02,45023,388,房屋满五年,东城,安定门,其他,有电梯,安外大街80号院,3室1厅,86.18
暂无数据,低楼层(共9层) 1985年建板塔结合,2015.02,,,近地铁,东城,安定门,其他,有电梯,,,
暂无数据,高楼层(共16层) 1992年建塔楼,2015.02,,,近地铁,东城,安定门,其他,有电梯,,,
东 西,中楼层(共10层) 2003年建板塔结合,2015.02,,,房屋满五年,东城,安定门,精装,有电梯,湖景苑,2室1厅,97
暂无数据,底层(共6层) 1985年建板楼,2015.02,,,,东城,安定门,其他,,,,
南 北,中楼层(共6层) 1979年建板楼,2015.02,,,房屋满五年,东城,安定门,其他,无电梯,安德路47号院,2室1厅,54
东 西,底层(共6层) 1995年建板楼,2015.01.29,35544,208,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,58.52
南,顶层(共5层) 1982年建板楼,2015.01.28,50888,258,近地铁,东城,安定门,其他,,,,
东 北,高楼层(共19层) 2006年建塔楼,2015.01.28,46676,478,房屋满五年,东城,安定门,精装,有电梯,西营房,3室1厅,102.41
东 西,低楼层(共6层) 1995年建板楼,2015.01.26,43746,256,房屋满五年,东城,安定门,其他,无电梯,安德路47号院,2室1厅,58.52
南,低楼层(共18层) 1988年建塔楼,2015.01.26,48086,221,房屋满五年,东城,安定门,简装,有电梯,上龙西里,1室1厅,45.96
东 南,中楼层(共16层) 1995年建塔楼,2015.01.25,59375,383.5,近地铁,东城,安定门,精装,有电梯,安外东河沿,2室1厅,64.59
南 北,顶层(共6层) 1990年建板楼,2015.01.22,64995,254,房屋满五年,东城,安定门,简装,,青年湖西里,1室1厅,39.08
东 西,低楼层(共10层) 1992年建板塔结合,2015.01.21,48022,309.5,房屋满五年,东城,安定门,简装,有电梯,青年湖南街,2室1厅,64.45
南 北,高楼层(共6层) 1979年建板楼,2015.01.18,46087,242,房屋满五年,东城,安定门,精装,无电梯,安德路47号院,2室1厅,52.51
南 北,中楼层(共6层) 板楼,2015.01.16,56967,700,房屋满五年,东城,安定门,其他,无电梯,官书院,3室1厅,122.88
东 南,低楼层(共18层) 1988年建塔楼,2015.01.16,46627,246,房屋满五年,东城,安定门,其他,有电梯,青年湖东里,1室1厅,52.76
东,低楼层(共6层) 1980年建板楼,2015.01.13,53947,272,挂牌280万,东城,安定门,其他,无电梯,六铺炕,2室1厅,50.42
南 北,底层(共4层) 1989年建板楼,2015.01.12,49936,270,近地铁,东城,安定门,精装,无电梯,花园胡同,3室1厅,54.07
东 西,中楼层(共6层) 1997年建板楼,2015.01.11,47139,294,房屋满五年,东城,安定门,简装,无电梯,地兴居,2室1厅,62.37
东 西,低楼层(共10层) 2003年建板塔结合,2015.01.07,53887,520,挂牌530万,东城,安定门,其他,有电梯,湖景苑,2室1厅,96.5
南,中楼层(共24层) 2005年建板塔结合,2015.01.06,51234,650,房屋满五年,东城,安定门,精装,有电梯,巷上嘉园,2室2厅,126.87
南 北,低楼层(共6层) 1987年建板楼,2015.01.05,56529,310,房屋满五年,东城,安定门,精装,无电梯,安德里北街24号院,2室1厅,54.84
南 北,中楼层(共14层) 1996年建板塔结合,2015.01.04,58508,403,房屋满五年,东城,安定门,其他,有电梯,青年湖南街,2室1厅,68.88
东 西,中楼层(共6层) 1980年建板楼,2015.01.03,54594,312,挂牌320万,东城,安定门,其他,无电梯,六铺炕,2室1厅,57.15
北,底层(共1层) 平房,2015.01.02,92242,151,挂牌155万,东城,安定门,其他,,大格巷,1室0厅,16.37
南 北,中楼层(共5层) 1985年建板楼,2015.01,,,房屋满五年,东城,安定门,精装,,青年湖西里,3室1厅,57.08
南,中楼层(共19层) 2001年建塔楼,2015.01,,,房屋满五年,东城,安定门,精装,有电梯,凯景铭座,2室2厅,179.87
东 北,低楼层(共12层) 板塔结合,2015.01,,,房屋满五年,东城,安定门,其他,有电梯,华府景园,2室1厅,114.39
暂无数据,中楼层(共6层) 板楼,2015.01,,,近地铁,东城,安定门,其他,无电梯,,,
南 北,中楼层(共5层) 1985年建板楼,2015.01,,,房屋满五年,东城,安定门,精装,,青年湖西里,3室1厅,57.08
暂无数据,中楼层(共6层) 板楼,2015.01,,,近地铁,东城,安定门,其他,无电梯,,,
南,顶层(共6层) 1990年建板楼,2015.01,,,房屋满五年,东城,安定门,其他,无电梯,安德路47号院,1室1厅,42
东 西,低楼层(共11层) 1983年建板楼,2015.01,,,近地铁,东城,安定门,其他,有电梯,安外西河沿,2室1厅,59.1
南 北,高楼层(共6层) 1974年建板楼,2015.01,,,近地铁,东城,安定门,简装,无电梯,朗家胡同24号院,2室1厅,53.32
东,中楼层(共14层) 1989年建塔楼,2015.01,,,房屋满五年,东城,安定门,精装,有电梯,安德路乙61号院,1室1厅,43.79
南 北,高楼层(共18层) 1988年建塔楼,2014.12.31,51804,385,房屋满五年,东城,安定门,其他,有电梯,上龙西里,3室1厅,74.32
东 西,中楼层(共6层) 板楼,2014.12.30,48293,420,房屋满五年,东城,安定门,简装,无电梯,安外大街80号院,4室1厅,86.97
南 北,顶层(共5层) 1992年建板楼,2014.12.29,45517,370,房屋满五年,东城,安定门,精装,无电梯,安德路47号院,3室1厅,81.29
南,中楼层(共6层) 1994年建板楼,2014.12.28,44498,205,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,1室1厅,46.07
西 北,低楼层(共16层) 1992年建塔楼,2014.12.28,47979,299,挂牌310万,东城,安定门,简装,有电梯,六铺炕,2室1厅,62.32
南 北,高楼层(共12层) 1980年建板塔结合,2014.12.20,59618,415,房屋满五年,东城,安定门,简装,有电梯,六铺炕,3室1厅,69.61
南 北,低楼层(共9层) 1985年建板塔结合,2014.12.18,62639,310,房屋满五年,东城,安定门,简装,有电梯,安外东河沿,2室1厅,49.49
南 北,高楼层(共6层) 1983年建板楼,2014.12.18,53949,485,房屋满五年,东城,安定门,简装,有电梯,安外东河沿,4室1厅,89.9
东 南,中楼层(共14层) 1989年建塔楼,2014.12.17,50713,331,房屋满五年,东城,安定门,精装,有电梯,安德路乙61号院,2室1厅,65.27
东,低楼层(共12层) 1994年建板楼,2014.12.17,33876,256,房屋满五年,东城,安定门,简装,有电梯,京宝花园,1室1厅,75.57
东,中楼层(共16层) 2001年建塔楼,2014.12.15,54306,420,房屋满五年,东城,安定门,精装,有电梯,华府景园,2室1厅,77.34
东 西,低楼层(共12层) 1994年建板楼,2014.12.15,26320,427,房屋满五年,东城,安定门,其他,有电梯,京宝花园,2室1厅,162.24
东 西,高楼层(共12层) 1989年建塔楼,2014.12.14,53714,358,挂牌360万,东城,安定门,精装,有电梯,安德路乙61号院,2室1厅,66.65
东 西,低楼层(共12层) 1994年建板楼,2014.12.13,26504,430,房屋满五年,东城,安定门,简装,有电梯,,,
东 西,中楼层(共14层) 1996年建板塔结合,2014.12.13,58155,409,房屋满五年,东城,安定门,精装,有电梯,青年湖南街,2室1厅,70.33
东 西,顶层(共11层) 1992年建板塔结合,2014.12.11,55882,248,房屋满五年,东城,安定门,简装,有电梯,鼓楼外大街52号,1室1厅,44.38
东,中楼层(共16层) 2001年建塔楼,2014.12.08,54701,423,房屋满五年,东城,安定门,精装,有电梯,华府景园,1室1厅,77.33
南 北,未知(共5层) 板楼,2014.12.07,54565,309,房屋满五年,东城,安定门,简装,无电梯,六铺炕,3室1厅,56.63
南 北,低楼层(共6层) 1992年建板楼,2014.12.07,45619,304,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,2室1厅,66.64
南 北,中楼层(共6层) 1990年建板楼,2014.12.06,59971,480,房屋满五年,东城,安定门,精装,,青年湖西里,3室1厅,80.04
南 北,底层(共5层) 1988年建板楼,2014.12.06,47337,223,房屋满五年,东城,安定门,其他,无电梯,国祥胡同4号院,2室1厅,47.11
南 西,中楼层(共22层) 板塔结合,2014.12.06,57397,1100,房屋满五年,东城,安定门,其他,有电梯,中景濠庭,3室2厅,191.65
西 北,低楼层(共17层) 1990年建塔楼,2014.12.02,44862,275,房屋满五年,东城,安定门,精装,有电梯,安德里北街25号院,2室1厅,61.3
暂无数据,高楼层(共16层) 2006年建塔楼,2014.12,,,,东城,安定门,其他,有电梯,,,
南 北,低楼层(共6层) 1990年建板楼,2014.12,,,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,3室1厅,75
南 西,中楼层(共19层) 2006年建塔楼,2014.12,,,房屋满五年,东城,安定门,精装,有电梯,西营房,2室1厅,89.31
暂无数据,高楼层(共16层) 2006年建塔楼,2014.12,,,,东城,安定门,其他,有电梯,,,
暂无数据,中楼层(共16层) 2006年建塔楼,2014.12,,,,东城,安定门,其他,有电梯,,,
南 北,中楼层(共6层) 1990年建板楼,2014.12,,,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,3室1厅,82.74
暂无数据,中楼层(共19层) 2006年建塔楼,2014.12,,,近地铁,东城,安定门,其他,有电梯,,,
南 北,高楼层(共6层) 1987年建板楼,2014.12,,,房屋满五年,东城,安定门,简装,无电梯,安德里北街24号院,3室1厅,70.33
暂无数据,中楼层(共17层) 2006年建塔楼,2014.12,,,近地铁,东城,安定门,其他,有电梯,,,
暂无数据,中楼层(共16层) 2001年建塔楼,2014.12,,,,东城,安定门,其他,有电梯,,,
暂无数据,顶层(共12层) 板塔结合,2014.12,,,,东城,安定门,其他,有电梯,,,
南 北,底层(共6层) 1990年建板楼,2014.12,,,房屋满五年,东城,安定门,简装,无电梯,黄寺大街2号院,2室1厅,58.38
东 西,高楼层(共6层) 1992年建板楼,2014.12,,,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,3室1厅,77.36
暂无数据,高楼层(共6层) 1983年建板楼,2014.12,,,,东城,安定门,其他,无电梯,,,
东 西,中楼层(共6层) 1990年建板楼,2014.12,,,房屋满五年,东城,安定门,简装,无电梯,安德路47号院,2室1厅,56.8
东 南 北,中楼层(共24层) 2005年建板塔结合,2014.12,,,房屋满五年,东城,安定门,精装,有电梯,巷上嘉园,2室1厅,91
暂无数据,中楼层(共12层) 1994年建板楼,2014.12,,,近地铁,东城,安定门,其他,有电梯,,,
南 北,中楼层(共5层) 1980年建板楼,2014.12,,,房屋满五年,东城,安定门,精装,无电梯,,,
南,中楼层(共5层) 1988年建板楼,2014.12,,,房屋满五年,东城,安定门,精装,无电梯,青年湖北里,1室1厅,43.76
南 北,底层(共6层) 1980年建板楼,2014.11.30,55241,312,房屋满五年,东城,安定门,其他,无电梯,六铺炕,2室1厅,56.48
南 北,顶层(共6层) 1998年建板楼,2014.11.30,50643,410,房屋满五年,东城,安定门,简装,无电梯,安外东河沿,3室1厅,80.96
东,高楼层(共14层) 1996年建板塔结合,2014.11.30,58107,305,房屋满五年,东城,安定门,精装,有电梯,青年湖南街,1室1厅,52.49
西,低楼层(共16层) 1992年建塔楼,2014.11.29,55539,240,房屋满五年,东城,安定门,简装,有电梯,六铺炕,1室1厅,43.21
南,低楼层(共19层) 2006年建塔楼,2014.11.28,48677,480,房屋满五年,东城,安定门,精装,有电梯,西营房,2室1厅,98.61
东,高楼层(共6层) 板楼,2014.11.26,40920,178,房屋满五年,东城,安定门,简装,无电梯,上龙西里,1室1厅,43.5
南 北,中楼层(共5层) 1982年建板楼,2014.11.26,57902,333.8,房屋满五年,东城,安定门,简装,,永康胡同5号院,2室1厅,57.65
西,中楼层(共17层) 1990年建塔楼,2014.11.20,49607,208,房屋满五年,东城,安定门,其他,有电梯,安德里北街25号院,1室1厅,41.93
南 北,中楼层(共6层) 1983年建板楼,2014.11.17,46668,257,近地铁,东城,安定门,其他,无电梯,安外西河沿,2室1厅,55.07
南 西,中楼层(共24层) 2005年建板塔结合,2014.11.16,53390,530,房屋满五年,东城,安定门,其他,有电梯,巷上嘉园,2室1厅,99.27
南,低楼层(共9层) 1985年建板塔结合,2014.11.16,54976,300,房屋满五年,东城,安定门,精装,有电梯,安外东河沿,2室1厅,54.57
南,中楼层(共6层) 1985年建板楼,2014.11.14,49132,198,房屋满五年,东城,安定门,简装,,中绦胡同甲2号院,1室1厅,40.3
南,中楼层(共6层) 1985年建板楼,2014.11.14,49132,198,房屋满五年,东城,安定门,简装,,中绦胡同甲2号院,1室1厅,40.3
东 西,低楼层(共6层) 1985年建板楼,2014.11.09,46571,256,房屋满五年,东城,安定门,精装,无电梯,安德路47号院,2室1厅,54.97
南,低楼层(共18层) 1988年建塔楼,2014.11.04,47613,334,房屋满五年,东城,安定门,精装,有电梯,上龙西里,2室1厅,70.15
