朝向,楼层,成交,单价,成交价,税费,区县,区域,装修,电梯,小区,布局,面积
南 北,底层(共6层) 1994年建板楼,2018.12.26,88116,539,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,2室1厅,61.17
东 西,底层(共6层) 1988年建板楼,2018.12.23,87670,460,房屋满五年,东城,安定门,简装,无电梯,安外大街3号院,2室1厅,52.47
东 西,中楼层(共6层) 1990年建板楼,2018.12.19,98533,537,房屋满五年,东城,安定门,简装,无电梯,朗家胡同13号院,2室1厅,54.5
南 北,高楼层(共6层) 1988年建板楼,2018.12.15,83526,580,房屋满五年,东城,安定门,简装,无电梯,青年湖北里,3室1厅,69.44
西,中楼层(共18层) 2000年建塔楼,2018.12.15,85319,745,房屋满五年,东城,安定门,简装,有电梯,三秀涵雅,1室1厅,87.32
东,中楼层(共14层) 1991年建板楼,2018.12.11,75463,457,房屋满五年,东城,安定门,简装,有电梯,黄寺大街28号院,2室1厅,60.56
东 西,低楼层(共10层) 1980年建板塔结合,2018.12.09,83980,509,房屋满五年,东城,安定门,精装,有电梯,六铺炕,2室1厅,60.61
东 西,顶层(共8层) 1999年建板塔结合,2018.12.09,82884,1306,挂牌1400万,东城,安定门,简装,有电梯,湖景苑,3室3厅,157.57
东,高楼层(共16层) 2001年建塔楼,2018.12.08,94353,710,房屋满五年,东城,安定门,精装,有电梯,华府景园,1室2厅,75.25
西 北,中楼层(共16层) 1988年建塔楼,2018.12,,,近地铁,东城,安定门,其他,有电梯,安外东河沿,3室1厅,66.3
暂无数据,中楼层(共11层) 1985年建板塔结合,2018.12,,,近地铁,东城,安定门,其他,有电梯,,,
暂无数据,高楼层(共18层) 1997年建塔楼,2018.12,,,,东城,安定门,其他,有电梯,,,
暂无数据,低楼层(共18层) 2000年建塔楼,2018.12,,,近地铁,东城,安定门,其他,有电梯,,,
南 西,中楼层(共24层) 2005年建板塔结合,2018.12,,,,东城,安定门,其他,有电梯,巷上嘉园,2室2厅,99.35
东,高楼层(共6层) 1990年建板楼,2018.12,,,近地铁,东城,安定门,简装,无电梯,安德路47号院,1室1厅,36.7
南,底层(共6层) 1994年建板楼,2018.11.28,95584,435,房屋满五年,东城,安定门,精装,无电梯,青年湖东里,1室1厅,45.51
东南 北,中楼层(共22层) 2001年建板塔结合,2018.11.27,83246,1345,房屋满五年,东城,安定门,精装,有电梯,中景濠庭,3室1厅,161.57
西,高楼层(共17层) 1988年建塔楼,2018.11.24,101296,438,房屋满五年,东城,安定门,其他,有电梯,安德里北街25号院,1室1厅,43.24
东,中楼层(共5层) 1980年建板楼,2018.11.19,112684,430,挂牌485万,东城,安定门,其他,无电梯,六铺炕,1室1厅,38.16
西 北,中楼层(共7层) 2002年建板楼,2018.11.19,121020,570,近地铁,东城,安定门,简装,无电梯,永康胡同1号院,1室1厅,47.1
东北,底层(共6层) 1988年建板楼,2018.11.17,72890,538,房屋满两年,东城,安定门,简装,无电梯,安外大街3号院,3室1厅,73.81
南,中楼层(共6层) 1994年建板楼,2018.11.13,97321,425,房屋满五年,东城,安定门,精装,无电梯,安德路47号院,1室1厅,43.67
南,顶层(共6层) 1990年建板楼,2018.11.13,100555,417,近地铁,东城,安定门,简装,无电梯,黄寺大街2号院,1室1厅,41.47
南,中楼层(共5层) 1980年建板楼,2018.11.12,105051,545,房屋满五年,东城,安定门,简装,无电梯,六铺炕,2室1厅,51.88
东南,中楼层(共14层) 1989年建塔楼,2018.11.07,109298,703,房屋满两年,东城,安定门,精装,有电梯,安德路乙61号院,2室1厅,64.32
南,中楼层(共11层) 2001年建板楼,2018.11.06,105818,573,挂牌585万,东城,安定门,简装,有电梯,车辇店胡同,1室1厅,54.15
东,中楼层(共6层) 1975年建板楼,2018.11.06,109166,480,近地铁,东城,安定门,精装,无电梯,六铺炕,2室1厅,43.97
